Filename,Duration (seconds),Chroma_stft,Spectral_centroid,Spectral_bandwidth,Spectral_rolloff,Rmse,Zero_crossing_rate
common_voice_fi_22987555.mp3,3.3840362811791382,0.37308916,1740.7011240683794,1848.6277855393996,3207.4885956228595,0.087585405,0.09785691352739725
common_voice_fi_22987558.mp3,2.9040362811791383,0.4221493,1971.6869455913934,1806.578357616388,3646.37451171875,0.04373421,0.12660435267857142
common_voice_fi_22987552.mp3,4.296009070294785,0.37003142,1723.1967697819825,1724.3171768042025,3100.7233650453627,0.076429866,0.10338436659946236
common_voice_fi_22987553.mp3,3.864036281179138,0.40201268,1662.713734122198,1717.8714995205373,3075.4442774607037,0.06723247,0.09449557915419161
common_voice_fi_22987556.mp3,5.256009070294785,0.43992546,1866.678994327992,1847.8062439234927,3389.297713897302,0.06753217,0.12940313532488987
common_voice_fi_22987513.mp3,4.584036281179138,0.37602133,1701.4250601633396,1682.491290895374,3079.574307528409,0.07333634,0.10724925031565656
common_voice_fi_22987510.mp3,3.9360090702947845,0.3335569,1687.316713156549,1772.6745275195483,3021.1717313878676,0.07994544,0.09658203125
common_voice_fi_22987511.mp3,4.344036281179139,0.41126847,2023.301963832248,1938.9055697273607,3709.609660696476,0.060245533,0.12903611203457446
common_voice_fi_26127335.mp3,6.408027210884354,0.3777707,2886.618903630106,2378.339511229049,5259.562882133152,0.06759822,0.19306746773097827
common_voice_fi_26127334.mp3,5.4,0.39335653,2767.661840362628,2441.3013193327783,5252.160801703326,0.06454274,0.17497024208690987
common_voice_fi_26127332.mp3,5.58,0.3625263,2273.31226058127,2207.140185252752,4238.243666526193,0.07728974,0.1479026192946058
common_voice_fi_26127333.mp3,3.42,0.4224371,3495.336984553839,2846.806298240813,6751.677641997466,0.041595355,0.23390321473817569
common_voice_fi_26127280.mp3,3.168027210884354,0.4471286,3499.7256631694027,2730.8994216620417,6469.784479071624,0.048532076,0.23735814895072993
common_voice_fi_26127331.mp3,3.8160090702947844,0.41291583,3146.3725464284,2456.299571593577,5625.059925426136,0.0693538,0.22480764678030302
common_voice_fi_26072430.mp3,3.42,0.42192486,2985.1983093011177,2530.6883532474967,5727.322800095017,0.07436576,0.1890770164695946
common_voice_fi_26072429.mp3,3.9960090702947846,0.38582996,2837.9616606152213,2547.682983722521,5530.983703260476,0.07866345,0.16903845285404626
common_voice_fi_25948679.mp3,3.0960090702947847,0.447711,3159.6812079188635,2684.02422269347,6364.909522213153,0.06277298,0.20936333955223882
common_voice_fi_26072427.mp3,2.7,0.47859153,3002.2429425460073,2760.932720948422,6304.903470552885,0.05509444,0.1854008079594017
common_voice_fi_26072428.mp3,4.608027210884353,0.37892637,2667.3164990517416,2315.8535394863306,4904.05175290515,0.07636639,0.17470163316582915
common_voice_fi_25948678.mp3,3.168027210884354,0.4781618,3341.269362664529,2591.1609310321433,6130.91158901688,0.04822962,0.23775376368613138
common_voice_fi_25948677.mp3,6.588027210884354,0.36138615,2961.4386154566023,2414.8219752282835,5354.640391175176,0.07534047,0.19429811289612675
common_voice_fi_25941615.mp3,2.88,0.38186547,2437.035583441485,2035.8017093133597,4491.2232421875,0.13278244,0.16391796875
common_voice_fi_25941632.mp3,4.3920181405895695,0.3603115,1658.861938225347,1743.4818434657918,2836.0361842105262,0.15585019,0.09455694901315789
common_voice_fi_25941334.mp3,2.34,0.49969065,3607.40664445809,2963.789300080789,7215.328647122525,0.051535815,0.24660136912128713
common_voice_fi_25941333.mp3,4.068027210884353,0.48125976,3280.5577264703634,2784.111202668158,6502.721474387429,0.073463924,0.21359807794744318
common_voice_fi_25941598.mp3,3.0960090702947847,0.44726256,2631.7479372507487,2284.6093567719254,5068.819598297575,0.13048029,0.16862465018656717
common_voice_fi_25941330.mp3,3.0960090702947847,0.46206042,3261.3878256154103,2904.9765274107945,6601.453365496735,0.073484786,0.2062733208955224
common_voice_fi_25941331.mp3,4.86,0.40505043,3018.267421096123,2656.467859284003,6106.04736328125,0.07629593,0.19375697544642856
common_voice_fi_25941332.mp3,9.36,0.33969012,2807.7437796901086,2404.066352461418,5237.978310160118,0.09487883,0.17616679880878713
common_voice_fi_25941329.mp3,4.14,0.41008464,3087.546560885415,2639.181794320953,6037.777829303422,0.08827548,0.20187019902234637
common_voice_fi_25941328.mp3,7.02,0.34350836,2527.068580874791,2313.9735565819537,4954.093585628094,0.08979969,0.1547964366749175
common_voice_fi_25941304.mp3,2.9160090702947845,0.45244908,3413.8609657481966,2997.302064349179,7009.3994140625,0.059373576,0.21505301339285715
common_voice_fi_25941326.mp3,4.176009070294785,0.3964852,2850.6014408016495,2728.792350590002,5859.78271484375,0.0733891,0.1696533203125
common_voice_fi_25941305.mp3,2.9160090702947845,0.47932652,3568.6853889743306,2947.3863634521863,7181.8359375,0.05835708,0.2276669456845238
common_voice_fi_25941327.mp3,3.8160090702947844,0.39029753,3003.568384687313,2527.1075929639546,5652.270063920455,0.09331624,0.20092329545454546
common_voice_fi_25941302.mp3,4.428027210884354,0.42253602,2963.5298647846903,2620.402166100736,5883.186763743455,0.06849705,0.18996952715968587
common_voice_fi_25941303.mp3,7.92,0.353764,2992.1972063133535,2565.448205660524,5738.5986328125,0.0865408,0.19084229943347952
common_voice_fi_25733249.mp3,3.8880272108843537,0.43817922,3041.6194943161813,2613.983353030748,6076.4007568359375,0.056504544,0.19072614397321427
common_voice_fi_25941301.mp3,5.22,0.37383008,2785.2358744199546,2606.9381610544074,5780.6123046875,0.07304483,0.16301215277777778
common_voice_fi_25733248.mp3,5.328027210884354,0.37805212,2944.9046224929393,2418.604322363239,5438.070015285326,0.074189715,0.19707243546195652
common_voice_fi_25732213.mp3,2.88,0.454657,3434.133799371953,2963.1832325559017,6987.610546875,0.05519866,0.22364453125
common_voice_fi_25733246.mp3,6.336009070294785,0.35693336,2950.500992156607,2437.727665258596,5428.023587740385,0.0942941,0.19667718349358973
common_voice_fi_25732212.mp3,7.02,0.33162817,2889.3837847893055,2503.875538585636,5354.909643796411,0.08796543,0.17924434044966997
common_voice_fi_25733244.mp3,3.528027210884354,0.39825702,2928.112697646519,2583.5680811960156,5759.636005602385,0.07166179,0.17953330592105263
common_voice_fi_25732210.mp3,4.176009070294785,0.4071931,3185.1260489926,2884.4810782203413,6522.04833984375,0.04971487,0.20143771701388888
common_voice_fi_25732211.mp3,2.736009070294785,0.4942009,3678.702911748947,2915.981251293341,7022.287763175318,0.035084922,0.259376655190678
common_voice_fi_25732186.mp3,4.68,0.37111577,2558.40964240918,2484.170856501665,5157.362048460705,0.07652676,0.14758179919554457
common_voice_fi_25732185.mp3,2.9880272108843537,0.45752475,3264.8596528882167,2776.007946492414,6477.154115188953,0.047037728,0.20540364583333334
common_voice_fi_25732209.mp3,2.3760090702947845,0.478549,3325.6153344168774,3011.2579168625216,7071.253033980583,0.05404524,0.21405207069174756
common_voice_fi_25732184.mp3,4.536009070294784,0.41484356,2637.7897651918065,2483.089221409166,5290.02685546875,0.068910606,0.16088119818239796
common_voice_fi_25732183.mp3,6.156009070294784,0.38245913,3053.5312784822772,2434.497356124711,5486.514442845395,0.07782172,0.2060032894736842
common_voice_fi_25732126.mp3,2.34,0.4612312,3417.6890226558085,2938.8668600097403,6750.765779702971,0.0458275,0.23639097308168316
common_voice_fi_25732128.mp3,5.508027210884354,0.3792592,2859.215089534416,2486.198075225151,5484.814453125,0.079402536,0.1735367975315126
common_voice_fi_25732127.mp3,8.316009070294784,0.35852104,2636.0815982661857,2427.8285687463995,5000.831506245648,0.08268065,0.15261033252089137
common_voice_fi_25732182.mp3,3.8160090702947844,0.40211195,3198.7934378591904,2809.8026946439145,6203.063299005682,0.08669853,0.19702888257575757
common_voice_fi_25732125.mp3,2.5560090702947846,0.51142126,3969.511373814782,3152.8878791606153,7925.382706925676,0.03496561,0.2796267947635135
common_voice_fi_25732124.mp3,3.2760090702947844,0.43871313,3619.274762751644,3088.554316490709,7352.451550121039,0.059386253,0.24003149757922534
common_voice_fi_25457667.mp3,4.3560090702947845,0.41900733,2963.500862124295,2518.138511143145,5643.703639253657,0.05804258,0.1983616605718085
common_voice_fi_25732093.mp3,6.408027210884354,0.3684629,3264.471545873274,2535.1284464361715,5806.826118800951,0.08861692,0.21408125283061594
